id	name	formula	inchikey	exactmass
M_methf_m	5,10-Methenyltetrahydrofolate	C20H22N7O6	MEANFMOQMXYMCT-OLZOCXBDSA-O	456.1626079
M_mlthf_n	5,10-Methylenetetrahydrofolate	C20H23N7O6	QYNUQALWYRSVHF-OLZOCXBDSA-N	457.1709815
M_ap4a_n	5,5-diadenosinetetraphosphate	C20H28N10O19P4	YOAHKNVSNCMZGQ-XPWFQUROSA-N	836.0482667
M_thf_n	5,6,7,8-Tetrahydrofolate	C19H23N7O6	MSTNYGQPCMXVAQ-RYUDHWBXSA-N	445.1709815
M_56dthm_c	5,6-Dihydrothymine	C5H8N2O2	NBAKTGXDIBVZOO-UHFFFAOYSA-N	128.0585775
M_56dura_c	5,6-dihydrouracil	C4H6N2O2	OIVLITBTBDPEFK-UHFFFAOYSA-N	114.0429274
M_5adtststerone_c	5alpha-Dihydrotestosterone	C19H30O2	NVKAWKQGWWIWPM-ABEVXSGRSA-N	290.2245802
M_air_c	5-amino-1-(5-phosphonato-?-D-ribosyl)imidazol-3-ium	C8H14N3O7P	PDACUKOKVHBVHJ-XVFCMESISA-N	295.0569368
M_aicar_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2?)	C9H15N4O8P	NOTGFIUVDGNKRI-UUOKFMHZSA-N	338.0627505
M_5aizc_c	5-amino-1-(5-phosphonato-D-ribosyl)imidazole-4-carboxylate	C9H14N3O9P	XFVULMDJZXYMSG-ZIYNGMLESA-N	339.046766
M_dad_5_c	5-deoxyadenosine	C10H13N5O3	XGYIMTFOTBMPFP-KQYNXXCUSA-N	251.1018393
M_ppmi12346p_n	5-diphospho-1D-myo-inositol(1,2,3,4,6)pentakisphosphate(13-)	C6H19O27P7	UPHPWXPNZIOZJL-KXXVROSKSA-N	739.8277043
M_fprica_c	5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2?)	C10H15N4O9P	ABCOOORLYAOBOZ-KQYNXXCUSA-N	366.0576651
M_5fthf_c	5-formyltetrahydrofolate(2?)	C20H23N7O7	VVIAGPKUTFNRDU-ABLWVSNPSA-N	473.1658961
M_5HPET_c	5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate	C20H32O4	JNUUNUQHXIOFDA-JGKLHWIESA-N	336.2300595
M_5HETE_c	5-Hydroxyeicosatetraenoate	C20H32O3	KGIJOOYOSFUGPC-JGKLHWIESA-N	320.2351449
M_5hoxindact_c	5-Hydroxyindoleacetaldehyde	C10H9NO2	OBFAPCIUSYHFIE-UHFFFAOYSA-N	175.0633285
M_5hoxindoa_c	5-Hydroxyindoleacetate	C10H9NO3	DUUGKQCEGZLZNO-UHFFFAOYSA-N	191.0582432
M_5htrp_c	5-Hydroxy-L-tryptophan	C11H12N2O3	LDCYZAJDBXYCGN-UHFFFAOYSA-N	220.0847923
M_gluala_c	5-L-Glutamyl-L-alanine	C8H14N2O5	WQXXXVRAFAKQJM-WHFBIAKZSA-N	218.0902716
